classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.505600000, 0.004389048, 0.003864765, 0
Lin. SVM, 50, 0.509866667, 0.027757168, 0.002405882, 0
SVM, 50, 0.511200000, 0.002941132, 0.133577347, 0
kNN, 50, 0.424800000, 0.000830889, 0.217943192, 0
RF, 50, 0.499200000, 0.126129866, 0.032795191, 0
MLP, 50, 0.506133333, 0.197180271, 0.013556957, 0
Log. Reg, 100, 0.506933333, 0.008283854, 0.002362013, 0
Lin. SVM, 100, 0.508800000, 0.074759007, 0.002074957, 0
SVM, 100, 0.502133333, 0.007973909, 0.256599903, 0
kNN, 100, 0.382933333, 0.000826120, 0.423119783, 0
RF, 100, 0.469066667, 0.147453070, 0.052783966, 0
MLP, 100, 0.500800000, 0.495316029, 0.015307903, 0
Log. Reg, 200, 0.510933333, 0.021312952, 0.002263069, 0
Lin. SVM, 200, 0.511200000, 0.222166061, 0.001902819, 0
SVM, 200, 0.468000000, 0.029655933, 0.545845985, 0
kNN, 200, 0.344266667, 0.002212048, 0.790030003, 0
RF, 200, 0.441600000, 0.235969067, 0.048958063, 0
MLP, 200, 0.504266667, 0.779362679, 0.012135029, 0
Log. Reg, 400, 0.504000000, 0.056441069, 0.002361774, 0
Lin. SVM, 400, 0.500533333, 0.396559000, 0.001925945, 0
SVM, 400, 0.358666667, 0.112909794, 0.995718956, 0
kNN, 400, 0.285066667, 0.003916025, 1.343344927, 0
RF, 400, 0.412266667, 0.430330992, 0.051802158, 0
MLP, 400, 0.480266667, 1.150123835, 0.013796806, 0
Log. Reg, 1000, 0.504000000, 0.432532072, 0.002158880, 0
Lin. SVM, 1000, 0.475733333, 1.165571690, 0.001973867, 0
SVM, 1000, 0.258400000, 0.672584057, 2.546147823, 0
kNN, 1000, 0.264533333, 0.014393091, 4.010192871, 0
RF, 1000, 0.319733333, 1.299826145, 0.067744017, 0
MLP, 1000, 0.423466667, 2.932275057, 0.011929274, 0
Log. Reg, 2000, 0.503733333, 0.801008940, 0.002022743, 0
Lin. SVM, 2000, 0.478400000, 2.882278204, 0.001935959, 0
SVM, 2000, 0.145600000, 3.083327293, 5.663391113, 0
kNN, 2000, 0.222933333, 0.039792061, 8.783485889, 0
RF, 2000, 0.218133333, 3.494287729, 0.077294111, 0
MLP, 2000, 0.344800000, 4.417203903, 0.010938168, 0
