classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.435428571, 0.006822109, 0.008378983, 0
Lin. SVM, 50, 0.432571429, 0.002613068, 0.001560926, 0
SVM, 50, 0.000000000, 0.003875971, 0.066297054, 0
kNN, 50, 0.485142857, 0.000710964, 0.065593004, 0
RF, 50, 0.000000000, 0.142009974, 0.019767046, 0
MLP, 50, 0.408571429, 0.085994005, 0.004244089, 0
S-RerF, 50, 0.000000000, 0.018530846, 0.009986162, 0
MT-MORF, 50, 0.000571429, 0.019464016, 0.022620916, 0
Log. Reg, 100, 0.450857143, 0.006573915, 0.001081705, 0
Lin. SVM, 100, 0.447428571, 0.004326105, 0.000940084, 0
SVM, 100, 0.000000000, 0.007930756, 0.110679150, 0
kNN, 100, 0.485142857, 0.001269102, 0.078685999, 0
RF, 100, 0.000000000, 0.120089769, 0.019252062, 0
MLP, 100, 0.410285714, 0.123551846, 0.005669117, 0
S-RerF, 100, 0.000000000, 0.039498806, 0.009078979, 0
MT-MORF, 100, 0.000000000, 0.043812037, 0.021181822, 0
Log. Reg, 200, 0.441714286, 0.015719891, 0.001064301, 0
Lin. SVM, 200, 0.440571429, 0.013375044, 0.001108408, 0
SVM, 200, 0.000000000, 0.027127028, 0.182613611, 0
kNN, 200, 0.485142857, 0.002975941, 0.124620676, 0
RF, 200, 0.000000000, 0.184181452, 0.028231144, 0
MLP, 200, 0.385714286, 0.321259022, 0.005913973, 0
S-RerF, 200, 0.000000000, 0.147415876, 0.026973009, 0
MT-MORF, 200, 0.000000000, 0.142356873, 0.023611784, 0
Log. Reg, 400, 0.458285714, 0.094888926, 0.001574039, 0
Lin. SVM, 400, 0.460000000, 0.065876961, 0.001179934, 0
SVM, 400, 0.000000000, 0.089318037, 0.282027006, 0
kNN, 400, 0.485142857, 0.006316900, 0.212090969, 0
RF, 400, 0.000000000, 0.135294914, 0.021427870, 0
MLP, 400, 0.345142857, 0.727548122, 0.006339073, 0
S-RerF, 400, 0.000000000, 0.271245003, 0.016953945, 0
MT-MORF, 400, 0.000000000, 0.237907887, 0.012111902, 0
Log. Reg, 1000, 0.475428571, 0.307131052, 0.001194954, 0
Lin. SVM, 1000, 0.478857143, 0.704244852, 0.001162052, 0
SVM, 1000, 0.000000000, 0.234515905, 0.383044004, 0
kNN, 1000, 0.485142857, 0.021749973, 0.457865000, 0
RF, 1000, 0.000000000, 0.221662045, 0.029821157, 0
MLP, 1000, 0.200000000, 1.592507839, 0.004577160, 0
S-RerF, 1000, 0.000000000, 0.868766308, 0.069055796, 0
MT-MORF, 1000, 0.000000000, 0.822828770, 0.015117884, 0
