classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.517714286, 0.003688097, 0.001144886, 0
Lin. SVM, 50, 0.512000000, 0.002028942, 0.001850128, 0
SVM, 50, 0.514857143, 0.003450871, 0.068535089, 0
kNN, 50, 0.392571429, 0.000668764, 0.134426117, 0
RF, 50, 0.512571429, 0.274210691, 0.044878006, 0
MLP, 50, 0.509142857, 0.153176069, 0.009470224, 0
S-RerF, 50, 0.522857143, 0.130457878, 0.029047012, 0
MT-MORF, 50, 0.501714286, 0.117780924, 0.025584936, 0
Log. Reg, 100, 0.501142857, 0.008549929, 0.001310825, 0
Lin. SVM, 100, 0.502285714, 0.009347916, 0.001312017, 0
SVM, 100, 0.521714286, 0.009809017, 0.138206959, 0
kNN, 100, 0.359428571, 0.001441717, 0.213708878, 0
RF, 100, 0.501714286, 0.176827192, 0.031073093, 0
MLP, 100, 0.478285714, 0.201193094, 0.006104946, 0
S-RerF, 100, 0.448571429, 0.312086105, 0.033342123, 0
MT-MORF, 100, 0.450285714, 0.289685965, 0.036949158, 0
Log. Reg, 200, 0.499428571, 0.026021957, 0.001576185, 0
Lin. SVM, 200, 0.497142857, 0.020484924, 0.001154900, 0
SVM, 200, 0.493714286, 0.030889988, 0.266073227, 0
kNN, 200, 0.400000000, 0.001826763, 0.414484978, 0
RF, 200, 0.492571429, 0.270235062, 0.033042192, 0
MLP, 200, 0.449714286, 0.310529709, 0.006981134, 0
S-RerF, 200, 0.358285714, 0.777570009, 0.047578812, 0
MT-MORF, 200, 0.365714286, 0.765505791, 0.044306993, 0
Log. Reg, 400, 0.491428571, 0.074377060, 0.001631975, 0
Lin. SVM, 400, 0.480571429, 0.093943834, 0.001260042, 0
SVM, 400, 0.410857143, 0.121192932, 0.539923191, 0
kNN, 400, 0.447428571, 0.006998062, 0.770419121, 0
RF, 400, 0.445714286, 0.542300940, 0.037960052, 0
MLP, 400, 0.405714286, 0.560975075, 0.004723072, 0
S-RerF, 400, 0.262285714, 1.801520109, 0.062449932, 0
MT-MORF, 400, 0.253714286, 1.880793095, 0.065377951, 0
Log. Reg, 1000, 0.512571429, 0.486185074, 0.001548052, 0
Lin. SVM, 1000, 0.507428571, 1.081109047, 0.002859831, 0
SVM, 1000, 0.272000000, 0.861105204, 1.443336964, 0
kNN, 1000, 0.465142857, 0.019047976, 2.197870255, 0
RF, 1000, 0.336571429, 1.327988386, 0.043517113, 0
MLP, 1000, 0.209142857, 1.287576199, 0.006290913, 0
S-RerF, 1000, 0.129714286, 5.749938011, 0.096399784, 0
MT-MORF, 1000, 0.136571429, 7.101966858, 0.107559204, 0
