classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 3.0, 0.555000000, 0.026513100, 0.012555838, 0
Lin. SVM, 3.0, 0.565000000, 0.027906895, 0.000348806, 0
SVM, 3.0, 0.535000000, 0.030065060, 0.027341127, 0
kNN, 3.0, 0.440000000, 0.002315998, 0.044017315, 0
RF, 3.0, 0.525000000, 0.196367025, 0.008435249, 0
MLP, 3.0, 0.525000000, 0.362394094, 0.000989914, 0
S-RerF, 3.0, 0.570000000, 0.747131824, 0.006473780, 0
MT-MORF, 3.0, 0.540000000, 0.779905081, 0.006473064, 0
Log. Reg, 36.0, 0.510000000, 0.053870916, 0.001005173, 0
Lin. SVM, 36.0, 0.485000000, 0.106050014, 0.001252174, 0
SVM, 36.0, 0.535000000, 0.235546827, 0.258229017, 0
kNN, 36.0, 0.525000000, 0.012805939, 0.240732193, 0
RF, 36.0, 0.525000000, 0.283172131, 0.009322166, 0
MLP, 36.0, 0.465000000, 0.201146841, 0.002603054, 0
S-RerF, 36.0, 0.475000000, 1.861482859, 0.006628752, 0
MT-MORF, 36.0, 0.470000000, 1.767006874, 0.005516052, 0
Log. Reg, 69.0, 0.480000000, 0.074285984, 0.001605272, 0
Lin. SVM, 69.0, 0.470000000, 0.141304970, 0.001631260, 0
SVM, 69.0, 0.535000000, 0.375391006, 0.344245911, 0
kNN, 69.0, 0.505000000, 0.017200708, 0.446171999, 0
RF, 69.0, 0.490000000, 0.395977020, 0.012526035, 0
MLP, 69.0, 0.535000000, 0.770883083, 0.004756927, 0
S-RerF, 69.0, 0.490000000, 2.089540958, 0.005887985, 0
MT-MORF, 69.0, 0.525000000, 2.069877148, 0.006049871, 0
Log. Reg, 102.0, 0.515000000, 0.117511034, 0.001958132, 0
Lin. SVM, 102.0, 0.505000000, 0.188488007, 0.001913786, 0
SVM, 102.0, 0.535000000, 0.561766863, 0.618852139, 0
kNN, 102.0, 0.515000000, 0.042738199, 0.698923111, 0
RF, 102.0, 0.495000000, 0.633358955, 0.018996000, 0
MLP, 102.0, 0.465000000, 0.811728954, 0.005877972, 0
S-RerF, 102.0, 0.530000000, 3.918047905, 0.007727146, 0
MT-MORF, 102.0, 0.570000000, 2.681037903, 0.007864237, 0
Log. Reg, 135.0, 0.530000000, 0.200263739, 0.003149033, 0
Lin. SVM, 135.0, 0.520000000, 0.263526201, 0.002845049, 0
SVM, 135.0, 0.535000000, 0.861846685, 0.726012707, 0
kNN, 135.0, 0.520000000, 0.044753790, 0.932125807, 0
RF, 135.0, 0.525000000, 0.533571959, 0.019392967, 0
MLP, 135.0, 0.505000000, 29.715572119, 0.009202003, 0
S-RerF, 135.0, 0.595000000, 2.887388945, 0.008205175, 0
MT-MORF, 135.0, 0.615000000, 2.937720060, 0.008279085, 0
Log. Reg, 168.0, 0.550000000, 0.236580849, 0.003516912, 0
Lin. SVM, 168.0, 0.545000000, 0.291508198, 0.002860785, 0
SVM, 168.0, 0.535000000, 0.943289995, 0.916716099, 0
kNN, 168.0, 0.510000000, 0.059140682, 1.103525877, 0
RF, 168.0, 0.520000000, 0.638539076, 0.017494917, 0
MLP, 168.0, 0.580000000, 23.522644043, 0.010559082, 0
S-RerF, 168.0, 0.540000000, 3.231508970, 0.008659840, 0
MT-MORF, 168.0, 0.515000000, 3.064881325, 0.007535934, 0
Log. Reg, 201.0, 0.550000000, 0.281686068, 0.003946066, 0
Lin. SVM, 201.0, 0.545000000, 0.367535114, 0.003832817, 0
SVM, 201.0, 0.535000000, 1.067926884, 1.053171873, 0
kNN, 201.0, 0.510000000, 0.059783936, 1.289012909, 0
RF, 201.0, 0.525000000, 0.617347956, 0.019865751, 0
MLP, 201.0, 0.530000000, 36.007856131, 0.011413097, 0
S-RerF, 201.0, 0.555000000, 3.638426065, 0.010752678, 0
MT-MORF, 201.0, 0.530000000, 3.793213844, 0.009947777, 0
Log. Reg, 234.0, 0.475000000, 0.402910948, 0.004690886, 0
Lin. SVM, 234.0, 0.470000000, 0.464654207, 0.004878759, 0
SVM, 234.0, 0.535000000, 1.247784138, 1.320706129, 0
kNN, 234.0, 0.410000000, 0.090165138, 1.776616812, 0
RF, 234.0, 0.475000000, 0.997767925, 0.031888008, 0
MLP, 234.0, 0.535000000, 1.683847189, 0.012184143, 0
S-RerF, 234.0, 0.520000000, 3.501760960, 0.009245872, 0
MT-MORF, 234.0, 0.515000000, 3.570971727, 0.010107040, 0
Log. Reg, 267.0, 0.460000000, 0.382326126, 0.006790876, 0
Lin. SVM, 267.0, 0.450000000, 0.596395969, 0.006865025, 0
SVM, 267.0, 0.535000000, 1.638969898, 1.576818943, 0
kNN, 267.0, 0.510000000, 0.088171005, 1.920675039, 0
RF, 267.0, 0.490000000, 1.079970837, 0.034723997, 0
MLP, 267.0, 0.465000000, 2.265658855, 0.026252985, 0
S-RerF, 267.0, 0.485000000, 4.671673298, 0.013881922, 0
MT-MORF, 267.0, 0.445000000, 4.699115992, 0.016358137, 0
Log. Reg, 300.0, 0.455000000, 0.466807127, 0.006279230, 0
Lin. SVM, 300.0, 0.480000000, 0.616551399, 0.006819963, 0
SVM, 300.0, 0.535000000, 1.677498817, 1.835268021, 0
kNN, 300.0, 0.475000000, 0.108873844, 2.007617950, 0
RF, 300.0, 0.480000000, 0.877690077, 0.033751965, 0
MLP, 300.0, 0.535000000, 3.566077948, 0.015838146, 0
S-RerF, 300.0, 0.545000000, 4.410526991, 0.010637045, 0
MT-MORF, 300.0, 0.505000000, 4.171716213, 0.012072325, 0
