classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 3.0, 0.506000000, 0.101307154, 0.000474930, 0
Lin. SVM, 3.0, 0.526000000, 0.191842079, 0.000452042, 0
SVM, 3.0, 0.396000000, 0.173177958, 0.160480022, 0
kNN, 3.0, 0.466000000, 0.004976749, 0.063441038, 0
RF, 3.0, 0.368000000, 0.906668901, 0.068710804, 0
MLP, 3.0, 0.392000000, 0.635391951, 0.001872301, 0
S-RerF, 3.0, 0.148000000, 2.784744978, 0.067361116, 0
MT-MORF, 3.0, 0.148000000, 3.368138075, 0.048015118, 0
Log. Reg, 6.0, 0.496000000, 0.205713987, 0.000791073, 0
Lin. SVM, 6.0, 0.504000000, 0.163839817, 0.000667810, 0
SVM, 6.0, 0.476000000, 0.257663012, 0.274999857, 0
kNN, 6.0, 0.394000000, 0.008687973, 0.084528208, 0
RF, 6.0, 0.468000000, 0.998785973, 0.074324846, 0
MLP, 6.0, 0.418000000, 0.930735826, 0.001745701, 0
S-RerF, 6.0, 0.328000000, 3.483376980, 0.031140089, 0
MT-MORF, 6.0, 0.238000000, 3.419425011, 0.023348093, 0
Log. Reg, 9.0, 0.508000000, 0.181581020, 0.000941992, 0
Lin. SVM, 9.0, 0.520000000, 0.215919971, 0.001151085, 0
SVM, 9.0, 0.460000000, 0.360956907, 0.375842810, 0
kNN, 9.0, 0.434000000, 0.011368990, 0.113522053, 0
RF, 9.0, 0.446000000, 1.204972744, 0.094768286, 0
MLP, 9.0, 0.388000000, 1.222179651, 0.002878904, 0
S-RerF, 9.0, 0.374000000, 4.126802921, 0.033811092, 0
MT-MORF, 9.0, 0.292000000, 4.285254955, 0.069116831, 0
Log. Reg, 12.0, 0.488000000, 0.256525040, 0.001474619, 0
Lin. SVM, 12.0, 0.496000000, 0.219703913, 0.000826120, 0
SVM, 12.0, 0.470000000, 0.446047068, 0.578926086, 0
kNN, 12.0, 0.456000000, 0.031913280, 0.161261082, 0
RF, 12.0, 0.456000000, 1.135790110, 0.073169708, 0
MLP, 12.0, 0.410000000, 1.698761940, 0.004755974, 0
S-RerF, 12.0, 0.262000000, 5.272527933, 0.058351994, 0
MT-MORF, 12.0, 0.328000000, 4.935619116, 0.024510860, 0
Log. Reg, 15.0, 0.494000000, 0.219350100, 0.000972986, 0
Lin. SVM, 15.0, 0.486000000, 0.209869146, 0.000896931, 0
SVM, 15.0, 0.498000000, 0.594168186, 0.573103666, 0
kNN, 15.0, 0.456000000, 0.016708851, 0.162617207, 0
RF, 15.0, 0.476000000, 1.316971064, 0.073792934, 0
MLP, 15.0, 0.452000000, 2.195380211, 0.005676031, 0
S-RerF, 15.0, 0.424000000, 5.031363964, 0.062717915, 0
MT-MORF, 15.0, 0.440000000, 5.085925817, 0.050028086, 0
Log. Reg, 18.0, 0.504000000, 0.281226873, 0.001206636, 0
Lin. SVM, 18.0, 0.502000000, 0.265161753, 0.001310825, 0
SVM, 18.0, 0.528000000, 0.654026031, 0.641484022, 0
kNN, 18.0, 0.414000000, 0.022125006, 0.171592951, 0
RF, 18.0, 0.474000000, 1.168407202, 0.076750994, 0
MLP, 18.0, 0.482000000, 3.480927706, 0.006023169, 0
S-RerF, 18.0, 0.314000000, 4.932301044, 0.025151968, 0
MT-MORF, 18.0, 0.378000000, 5.223441839, 0.022569895, 0
Log. Reg, 21.0, 0.516000000, 0.270172834, 0.001344919, 0
Lin. SVM, 21.0, 0.500000000, 0.272643089, 0.001430035, 0
SVM, 21.0, 0.538000000, 0.846624851, 0.747596025, 0
kNN, 21.0, 0.418000000, 0.023695946, 0.202752113, 0
RF, 21.0, 0.490000000, 1.243101835, 0.080199003, 0
MLP, 21.0, 0.478000000, 3.549280167, 0.006827116, 0
S-RerF, 21.0, 0.456000000, 7.221400023, 0.025829792, 0
MT-MORF, 21.0, 0.426000000, 5.593368292, 0.068789005, 0
Log. Reg, 24.0, 0.484000000, 0.284329891, 0.001718998, 0
Lin. SVM, 24.0, 0.488000000, 0.318435907, 0.001528263, 0
SVM, 24.0, 0.512000000, 0.881994724, 0.881881952, 0
kNN, 24.0, 0.484000000, 0.036404848, 0.233278275, 0
RF, 24.0, 0.482000000, 1.268323898, 0.075315952, 0
MLP, 24.0, 0.464000000, 4.612018824, 0.006865978, 0
S-RerF, 24.0, 0.384000000, 5.749246120, 0.025246143, 0
MT-MORF, 24.0, 0.422000000, 6.462581873, 0.059587002, 0
Log. Reg, 27.0, 0.490000000, 0.292780161, 0.001881838, 0
Lin. SVM, 27.0, 0.486000000, 0.303183079, 0.001589298, 0
SVM, 27.0, 0.530000000, 0.967252016, 1.043330193, 0
kNN, 27.0, 0.458000000, 0.034763098, 0.366937160, 0
RF, 27.0, 0.508000000, 1.628890753, 0.133479834, 0
MLP, 27.0, 0.464000000, 26.560384989, 0.007797956, 0
S-RerF, 27.0, 0.462000000, 5.654897213, 0.024337053, 0
MT-MORF, 27.0, 0.456000000, 6.190127134, 0.038877964, 0
Log. Reg, 30.0, 0.470000000, 0.340098858, 0.003051043, 0
Lin. SVM, 30.0, 0.468000000, 0.314662218, 0.001631737, 0
SVM, 30.0, 0.528000000, 1.037814140, 1.034176111, 0
kNN, 30.0, 0.404000000, 0.042329073, 0.262984991, 0
RF, 30.0, 0.474000000, 1.309446812, 0.074854851, 0
MLP, 30.0, 0.460000000, 4.723176956, 0.008254290, 0
S-RerF, 30.0, 0.422000000, 5.885660172, 0.024752140, 0
MT-MORF, 30.0, 0.396000000, 6.281210899, 0.022300959, 0
