classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.527428571, 0.005012989, 0.002130985, 0
Lin. SVM, 50, 0.524000000, 0.003499031, 0.001714945, 0
SVM, 50, 0.514857143, 0.003947020, 0.066735983, 0
kNN, 50, 0.445142857, 0.000597000, 0.065783978, 0
RF, 50, 0.510285714, 0.140945911, 0.019546270, 0
MLP, 50, 0.521142857, 0.078400850, 0.005950928, 0
S-RerF, 50, 0.498857143, 0.020174026, 0.010182858, 0
MT-MORF, 50, 0.497714286, 0.023071051, 0.018406153, 0
Log. Reg, 100, 0.492571429, 0.007302999, 0.001101732, 0
Lin. SVM, 100, 0.489714286, 0.004584789, 0.000876904, 0
SVM, 100, 0.519428571, 0.007916212, 0.118790865, 0
kNN, 100, 0.421142857, 0.001384020, 0.085688114, 0
RF, 100, 0.497714286, 0.122736931, 0.020065069, 0
MLP, 100, 0.490857143, 0.120662928, 0.005782843, 0
S-RerF, 100, 0.433714286, 0.059687376, 0.045937061, 0
MT-MORF, 100, 0.465142857, 0.063946962, 0.024901867, 0
Log. Reg, 200, 0.499428571, 0.020782709, 0.001138926, 0
Lin. SVM, 200, 0.496000000, 0.016563177, 0.001100063, 0
SVM, 200, 0.505142857, 0.029129028, 0.246704817, 0
kNN, 200, 0.403428571, 0.001739979, 0.115861177, 0
RF, 200, 0.499428571, 0.181328058, 0.038454056, 0
MLP, 200, 0.476571429, 0.269927979, 0.004188776, 0
S-RerF, 200, 0.424000000, 0.165489197, 0.025026798, 0
MT-MORF, 200, 0.411428571, 0.165374041, 0.023231983, 0
Log. Reg, 400, 0.482857143, 0.066620827, 0.001166105, 0
Lin. SVM, 400, 0.481142857, 0.092677116, 0.001215935, 0
SVM, 400, 0.444571429, 0.118605137, 0.476830006, 0
kNN, 400, 0.366857143, 0.004303932, 0.156540871, 0
RF, 400, 0.459428571, 0.234905005, 0.043894053, 0
MLP, 400, 0.426857143, 0.633593798, 0.005661011, 0
S-RerF, 400, 0.344000000, 0.532948017, 0.026304722, 0
MT-MORF, 400, 0.314857143, 0.484534025, 0.033113003, 0
Log. Reg, 1000, 0.484000000, 0.473826885, 0.001425982, 0
Lin. SVM, 1000, 0.492000000, 1.154174089, 0.001547098, 0
SVM, 1000, 0.340000000, 0.773377180, 1.242191076, 0
kNN, 1000, 0.358285714, 0.014780045, 0.372244120, 0
RF, 1000, 0.420000000, 0.510267973, 0.046326160, 0
MLP, 1000, 0.296000000, 1.949290991, 0.007613897, 0
S-RerF, 1000, 0.224000000, 1.971383810, 0.180364847, 0
MT-MORF, 1000, 0.212571429, 2.546822071, 0.231205702, 0
