classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 3.0, 0.484000000, 0.212473869, 0.003772974, 0
Lin. SVM, 3.0, 0.472000000, 0.335184813, 0.000986099, 0
SVM, 3.0, 0.396000000, 0.354444027, 0.281226873, 0
kNN, 3.0, 0.436000000, 0.011293173, 0.075995207, 0
RF, 3.0, 0.416000000, 1.712045908, 0.149309874, 0
MLP, 3.0, 0.382000000, 4.529329062, 0.009588003, 0
S-RerF, 3.0, 0.184000000, 6.698718786, 0.358519793, 0
MT-MORF, 3.0, 0.190000000, 6.521735191, 0.571762085, 0
Log. Reg, 3.0, 0.506000000, 0.249541759, 0.000995874, 1
Lin. SVM, 3.0, 0.490000000, 0.423771858, 0.001579046, 1
SVM, 3.0, 0.422000000, 0.368258238, 0.303651094, 1
kNN, 3.0, 0.458000000, 0.011360168, 0.095489979, 1
RF, 3.0, 0.468000000, 1.984313250, 0.149705172, 1
MLP, 3.0, 0.386000000, 5.027432919, 0.009386063, 1
S-RerF, 3.0, 0.230000000, 6.269540787, 0.730490685, 1
MT-MORF, 3.0, 0.178000000, 6.808957815, 0.422978878, 1
Log. Reg, 3.0, 0.478000000, 0.213142157, 0.003067970, 2
Lin. SVM, 3.0, 0.472000000, 0.591181755, 0.000788927, 2
SVM, 3.0, 0.406000000, 0.281019926, 0.262790918, 2
kNN, 3.0, 0.462000000, 0.012935877, 0.073999882, 2
RF, 3.0, 0.422000000, 1.603003025, 0.140769005, 2
MLP, 3.0, 0.380000000, 4.394191980, 0.007902145, 2
S-RerF, 3.0, 0.174000000, 6.850249767, 0.346904039, 2
MT-MORF, 3.0, 0.178000000, 6.795962811, 0.393007040, 2
Log. Reg, 3.0, 0.466000000, 0.237978935, 0.001328945, 3
Lin. SVM, 3.0, 0.460000000, 0.515153170, 0.000855684, 3
SVM, 3.0, 0.422000000, 0.306015015, 0.383559942, 3
kNN, 3.0, 0.386000000, 0.088346958, 0.109727144, 3
RF, 3.0, 0.402000000, 1.724952221, 0.141057968, 3
MLP, 3.0, 0.386000000, 4.450315952, 0.010859966, 3
S-RerF, 3.0, 0.250000000, 6.676222086, 0.351989031, 3
MT-MORF, 3.0, 0.198000000, 6.190910101, 0.450535059, 3
Log. Reg, 3.0, 0.494000000, 0.198385000, 0.000932693, 4
Lin. SVM, 3.0, 0.488000000, 0.274170876, 0.000893831, 4
SVM, 3.0, 0.398000000, 0.221081018, 0.217101812, 4
kNN, 3.0, 0.430000000, 0.009380102, 0.090355873, 4
RF, 3.0, 0.420000000, 1.546373129, 0.140289783, 4
MLP, 3.0, 0.386000000, 2.812174082, 0.007408857, 4
S-RerF, 3.0, 0.192000000, 6.087667942, 0.281945944, 4
MT-MORF, 3.0, 0.178000000, 6.219425917, 0.348105192, 4
Log. Reg, 3.0, 0.466000000, 0.234437704, 0.001028061, 5
Lin. SVM, 3.0, 0.460000000, 0.303735018, 0.004768848, 5
SVM, 3.0, 0.408000000, 0.284018993, 0.258103132, 5
kNN, 3.0, 0.368000000, 0.013031006, 0.078658819, 5
RF, 3.0, 0.414000000, 1.556389809, 0.141425133, 5
MLP, 3.0, 0.346000000, 4.112977028, 0.010524988, 5
S-RerF, 3.0, 0.188000000, 5.794624090, 0.343167067, 5
MT-MORF, 3.0, 0.170000000, 6.352924824, 0.322333813, 5
Log. Reg, 3.0, 0.522000000, 0.206578970, 0.001022816, 6
Lin. SVM, 3.0, 0.526000000, 0.513888121, 0.001430035, 6
SVM, 3.0, 0.404000000, 0.265238047, 0.257895708, 6
kNN, 3.0, 0.444000000, 0.010512829, 0.077499866, 6
RF, 3.0, 0.426000000, 1.567089319, 0.140764952, 6
MLP, 3.0, 0.408000000, 3.784578800, 0.009648085, 6
S-RerF, 3.0, 0.180000000, 6.265057802, 0.275236130, 6
MT-MORF, 3.0, 0.182000000, 6.106753826, 0.259822130, 6
Log. Reg, 3.0, 0.532000000, 0.243897200, 0.001134634, 7
Lin. SVM, 3.0, 0.522000000, 0.384011030, 0.000939131, 7
SVM, 3.0, 0.442000000, 0.260374069, 0.261696100, 7
kNN, 3.0, 0.474000000, 0.010382175, 0.083697081, 7
RF, 3.0, 0.446000000, 1.602111816, 0.135715008, 7
MLP, 3.0, 0.412000000, 3.456519842, 0.008195162, 7
S-RerF, 3.0, 0.238000000, 6.586117268, 0.296233177, 7
MT-MORF, 3.0, 0.200000000, 7.159112215, 0.494470358, 7
Log. Reg, 3.0, 0.468000000, 0.337989092, 0.001509190, 8
Lin. SVM, 3.0, 0.472000000, 0.361416340, 0.001139402, 8
SVM, 3.0, 0.400000000, 0.297491074, 0.303417921, 8
kNN, 3.0, 0.442000000, 0.012495995, 0.091381073, 8
RF, 3.0, 0.446000000, 1.806360245, 0.145704985, 8
MLP, 3.0, 0.390000000, 5.087116957, 0.012646198, 8
S-RerF, 3.0, 0.242000000, 6.202840090, 0.341948032, 8
MT-MORF, 3.0, 0.202000000, 7.175374031, 0.378327131, 8
Log. Reg, 3.0, 0.516000000, 0.244962931, 0.001433849, 9
Lin. SVM, 3.0, 0.506000000, 0.531577110, 0.000823021, 9
SVM, 3.0, 0.430000000, 0.270391941, 0.260332108, 9
kNN, 3.0, 0.444000000, 0.014849901, 0.081794739, 9
RF, 3.0, 0.464000000, 1.663775921, 0.146207809, 9
MLP, 3.0, 0.380000000, 4.533397198, 0.010424137, 9
S-RerF, 3.0, 0.248000000, 6.710526943, 0.337154865, 9
MT-MORF, 3.0, 0.202000000, 6.585046053, 0.431315899, 9
Log. Reg, 6.0, 0.486000000, 0.332986832, 0.001029253, 0
Lin. SVM, 6.0, 0.496000000, 0.306352854, 0.001137733, 0
SVM, 6.0, 0.464000000, 0.417282104, 0.459027052, 0
kNN, 6.0, 0.426000000, 0.026402235, 0.096668720, 0
RF, 6.0, 0.484000000, 1.842485189, 0.134520054, 0
MLP, 6.0, 0.374000000, 5.223280191, 0.029464960, 0
S-RerF, 6.0, 0.184000000, 8.612905025, 0.352122784, 0
MT-MORF, 6.0, 0.218000000, 7.398447990, 0.401520014, 0
Log. Reg, 6.0, 0.494000000, 0.271567822, 0.001204014, 1
Lin. SVM, 6.0, 0.508000000, 0.304875851, 0.001185179, 1
SVM, 6.0, 0.458000000, 0.409021139, 0.394383907, 1
kNN, 6.0, 0.418000000, 0.019085884, 0.093169928, 1
RF, 6.0, 0.452000000, 1.707674026, 0.144596100, 1
MLP, 6.0, 0.394000000, 5.691616058, 0.016949177, 1
S-RerF, 6.0, 0.282000000, 6.595132113, 0.228884935, 1
MT-MORF, 6.0, 0.230000000, 7.126123905, 0.238436937, 1
Log. Reg, 6.0, 0.454000000, 0.287852049, 0.001006126, 2
Lin. SVM, 6.0, 0.464000000, 0.312587976, 0.004025698, 2
SVM, 6.0, 0.430000000, 0.405719757, 0.379539967, 2
kNN, 6.0, 0.430000000, 0.017337799, 0.109691143, 2
RF, 6.0, 0.470000000, 1.651294947, 0.137499094, 2
MLP, 6.0, 0.372000000, 5.378719091, 0.010608196, 2
S-RerF, 6.0, 0.218000000, 6.951066017, 0.246993780, 2
MT-MORF, 6.0, 0.180000000, 7.143933296, 0.327152014, 2
Log. Reg, 6.0, 0.516000000, 0.268392801, 0.003393173, 3
Lin. SVM, 6.0, 0.524000000, 0.338401079, 0.001167774, 3
SVM, 6.0, 0.460000000, 0.406382084, 0.400056839, 3
kNN, 6.0, 0.400000000, 0.016239882, 0.100053072, 3
RF, 6.0, 0.462000000, 1.735774755, 0.144996881, 3
MLP, 6.0, 0.394000000, 5.735444784, 0.010388136, 3
S-RerF, 6.0, 0.242000000, 6.824774742, 0.311843872, 3
MT-MORF, 6.0, 0.222000000, 7.118122101, 0.257448912, 3
Log. Reg, 6.0, 0.518000000, 0.254659891, 0.001173973, 4
Lin. SVM, 6.0, 0.516000000, 0.308034182, 0.001347780, 4
SVM, 6.0, 0.468000000, 0.404838800, 0.386032820, 4
kNN, 6.0, 0.420000000, 0.016619921, 0.100837231, 4
RF, 6.0, 0.506000000, 1.665614843, 0.148952961, 4
MLP, 6.0, 0.396000000, 5.604974985, 0.010356903, 4
S-RerF, 6.0, 0.212000000, 6.933823347, 0.281410217, 4
MT-MORF, 6.0, 0.168000000, 7.196222067, 0.266478777, 4
Log. Reg, 6.0, 0.488000000, 0.271687746, 0.001291990, 5
Lin. SVM, 6.0, 0.474000000, 0.311563015, 0.001247883, 5
SVM, 6.0, 0.416000000, 0.398375988, 0.396303892, 5
kNN, 6.0, 0.390000000, 0.016788960, 0.107846260, 5
RF, 6.0, 0.470000000, 1.689572811, 0.139118910, 5
MLP, 6.0, 0.364000000, 5.566215992, 0.010690212, 5
S-RerF, 6.0, 0.226000000, 6.691497087, 0.332540035, 5
MT-MORF, 6.0, 0.218000000, 7.403606653, 0.130674124, 5
Log. Reg, 6.0, 0.510000000, 0.196766853, 0.001166821, 6
Lin. SVM, 6.0, 0.510000000, 0.197510958, 0.001076937, 6
SVM, 6.0, 0.428000000, 0.321521997, 0.331078768, 6
kNN, 6.0, 0.454000000, 0.018524885, 0.095171928, 6
RF, 6.0, 0.470000000, 1.742282629, 0.151035070, 6
MLP, 6.0, 0.388000000, 5.243433952, 0.013082266, 6
S-RerF, 6.0, 0.228000000, 6.926078081, 0.229516029, 6
MT-MORF, 6.0, 0.226000000, 7.933868885, 0.651702881, 6
Log. Reg, 6.0, 0.524000000, 0.280646086, 0.001663208, 7
Lin. SVM, 6.0, 0.510000000, 0.289000273, 0.001188755, 7
SVM, 6.0, 0.490000000, 0.398504019, 0.386236191, 7
kNN, 6.0, 0.450000000, 0.018418074, 0.108196974, 7
RF, 6.0, 0.448000000, 1.722450972, 0.151867867, 7
MLP, 6.0, 0.398000000, 7.143847227, 0.016955137, 7
S-RerF, 6.0, 0.234000000, 7.281111956, 0.472874165, 7
MT-MORF, 6.0, 0.172000000, 8.401623726, 0.380412102, 7
Log. Reg, 6.0, 0.512000000, 0.273144007, 0.001323223, 8
Lin. SVM, 6.0, 0.498000000, 0.299168110, 0.001366138, 8
SVM, 6.0, 0.460000000, 0.422765970, 0.412015200, 8
kNN, 6.0, 0.390000000, 0.019054174, 0.103858948, 8
RF, 6.0, 0.442000000, 1.756731033, 0.149367809, 8
MLP, 6.0, 0.392000000, 6.527956009, 0.011971951, 8
S-RerF, 6.0, 0.232000000, 7.472201824, 0.354033947, 8
MT-MORF, 6.0, 0.236000000, 7.512947083, 0.229992151, 8
Log. Reg, 6.0, 0.460000000, 0.260837793, 0.001221895, 9
Lin. SVM, 6.0, 0.486000000, 0.296744823, 0.001154184, 9
SVM, 6.0, 0.438000000, 0.408765316, 0.387139082, 9
kNN, 6.0, 0.442000000, 0.017884016, 0.105972290, 9
RF, 6.0, 0.458000000, 1.721822023, 0.144410849, 9
MLP, 6.0, 0.368000000, 5.611364126, 0.025483847, 9
S-RerF, 6.0, 0.260000000, 7.359740973, 0.295742989, 9
MT-MORF, 6.0, 0.218000000, 7.687530041, 0.398222923, 9
Log. Reg, 9.0, 0.486000000, 0.318118095, 0.001327038, 0
Lin. SVM, 9.0, 0.492000000, 0.348246574, 0.001183987, 0
SVM, 9.0, 0.506000000, 0.568783045, 0.585192919, 0
kNN, 9.0, 0.458000000, 0.021240950, 0.127985954, 0
RF, 9.0, 0.488000000, 1.741028070, 0.143579960, 0
MLP, 9.0, 0.400000000, 8.604586840, 0.014267921, 0
S-RerF, 9.0, 0.312000000, 7.783188820, 0.288373947, 0
MT-MORF, 9.0, 0.274000000, 8.041193962, 0.266393900, 0
Log. Reg, 9.0, 0.526000000, 0.321169138, 0.000983953, 1
Lin. SVM, 9.0, 0.534000000, 0.238616943, 0.000950813, 1
SVM, 9.0, 0.480000000, 0.446339130, 0.437328815, 1
kNN, 9.0, 0.444000000, 0.014032841, 0.172910929, 1
RF, 9.0, 0.466000000, 1.630263090, 0.137284040, 1
MLP, 9.0, 0.374000000, 6.846251965, 0.030582905, 1
S-RerF, 9.0, 0.232000000, 8.415131092, 0.352683067, 1
MT-MORF, 9.0, 0.298000000, 9.464060068, 0.784624100, 1
Log. Reg, 9.0, 0.522000000, 0.370415211, 0.001771927, 2
Lin. SVM, 9.0, 0.512000000, 0.384955168, 0.001578093, 2
SVM, 9.0, 0.480000000, 0.679794788, 0.649523973, 2
kNN, 9.0, 0.388000000, 0.021013021, 0.150024176, 2
RF, 9.0, 0.468000000, 1.980979919, 0.159149885, 2
MLP, 9.0, 0.406000000, 7.851556301, 0.020514011, 2
S-RerF, 9.0, 0.366000000, 7.350630045, 0.240499973, 2
MT-MORF, 9.0, 0.308000000, 8.175981045, 0.347806215, 2
Log. Reg, 9.0, 0.474000000, 0.329112053, 0.001110077, 3
Lin. SVM, 9.0, 0.476000000, 0.291848183, 0.001203775, 3
SVM, 9.0, 0.488000000, 0.537380934, 0.609663010, 3
kNN, 9.0, 0.460000000, 0.026658773, 0.127427101, 3
RF, 9.0, 0.510000000, 1.969303131, 0.138294935, 3
MLP, 9.0, 0.410000000, 8.185117006, 0.016108036, 3
S-RerF, 9.0, 0.282000000, 8.905663013, 0.862767220, 3
MT-MORF, 9.0, 0.272000000, 8.601890087, 0.272295237, 3
Log. Reg, 9.0, 0.522000000, 0.316697121, 0.001240730, 4
Lin. SVM, 9.0, 0.520000000, 0.432596207, 0.001209021, 4
SVM, 9.0, 0.502000000, 0.576535940, 0.535553932, 4
kNN, 9.0, 0.432000000, 0.020740032, 0.126653194, 4
RF, 9.0, 0.498000000, 1.769931078, 0.141320944, 4
MLP, 9.0, 0.442000000, 6.792165041, 0.017106056, 4
S-RerF, 9.0, 0.306000000, 8.245522022, 0.306972980, 4
MT-MORF, 9.0, 0.260000000, 8.046413183, 0.266303062, 4
Log. Reg, 9.0, 0.514000000, 0.306434631, 0.001105070, 5
Lin. SVM, 9.0, 0.512000000, 0.302227974, 0.001217842, 5
SVM, 9.0, 0.476000000, 0.511205196, 0.506138802, 5
kNN, 9.0, 0.470000000, 0.019654751, 0.111198902, 5
RF, 9.0, 0.468000000, 1.723031044, 0.151978016, 5
MLP, 9.0, 0.390000000, 8.543163061, 0.016617775, 5
S-RerF, 9.0, 0.324000000, 7.720102310, 0.460265160, 5
MT-MORF, 9.0, 0.296000000, 8.658830881, 0.494476080, 5
Log. Reg, 9.0, 0.550000000, 0.301412821, 0.000909090, 6
Lin. SVM, 9.0, 0.534000000, 0.254254103, 0.001002073, 6
SVM, 9.0, 0.518000000, 0.499421120, 0.473440170, 6
kNN, 9.0, 0.460000000, 0.018304110, 0.210254908, 6
RF, 9.0, 0.542000000, 1.766742706, 0.129853010, 6
MLP, 9.0, 0.428000000, 6.291591883, 0.018676043, 6
S-RerF, 9.0, 0.268000000, 8.337923765, 0.282971144, 6
MT-MORF, 9.0, 0.254000000, 7.842719793, 0.327762365, 6
Log. Reg, 9.0, 0.496000000, 0.298065901, 0.001126766, 7
Lin. SVM, 9.0, 0.480000000, 0.280113935, 0.001446962, 7
SVM, 9.0, 0.482000000, 0.509348869, 0.506788015, 7
kNN, 9.0, 0.404000000, 0.021316767, 0.120946884, 7
RF, 9.0, 0.460000000, 1.681664944, 0.137940168, 7
MLP, 9.0, 0.428000000, 6.196640015, 0.017693043, 7
S-RerF, 9.0, 0.422000000, 6.996388197, 0.245229006, 7
MT-MORF, 9.0, 0.246000000, 7.597568035, 0.234726906, 7
Log. Reg, 9.0, 0.508000000, 0.289972067, 0.001404762, 8
Lin. SVM, 9.0, 0.510000000, 0.311615944, 0.001569986, 8
SVM, 9.0, 0.488000000, 0.517078876, 0.498557091, 8
kNN, 9.0, 0.454000000, 0.022838116, 0.109867096, 8
RF, 9.0, 0.490000000, 1.606622934, 0.134515762, 8
MLP, 9.0, 0.410000000, 6.558693171, 0.016144037, 8
S-RerF, 9.0, 0.322000000, 7.264398098, 0.257312059, 8
MT-MORF, 9.0, 0.306000000, 7.433470964, 0.240885973, 8
Log. Reg, 9.0, 0.484000000, 0.427492857, 0.002048969, 9
Lin. SVM, 9.0, 0.474000000, 0.322924137, 0.001532078, 9
SVM, 9.0, 0.446000000, 0.503774881, 0.499583960, 9
kNN, 9.0, 0.452000000, 0.019977808, 0.129405975, 9
RF, 9.0, 0.488000000, 1.619369984, 0.135846138, 9
MLP, 9.0, 0.370000000, 6.697599888, 0.016405821, 9
S-RerF, 9.0, 0.340000000, 7.169584751, 0.210329771, 9
MT-MORF, 9.0, 0.282000000, 7.211666107, 0.207471848, 9
Log. Reg, 12.0, 0.512000000, 0.342172861, 0.001160860, 0
Lin. SVM, 12.0, 0.502000000, 0.341887951, 0.001209974, 0
SVM, 12.0, 0.506000000, 0.664506912, 0.630946159, 0
kNN, 12.0, 0.472000000, 0.030956030, 0.148142815, 0
RF, 12.0, 0.480000000, 1.696361065, 0.130858898, 0
MLP, 12.0, 0.408000000, 10.216423988, 0.017857075, 0
S-RerF, 12.0, 0.310000000, 8.178760052, 0.183391094, 0
MT-MORF, 12.0, 0.298000000, 9.541785955, 0.440222979, 0
Log. Reg, 12.0, 0.484000000, 0.363727093, 0.002043009, 1
Lin. SVM, 12.0, 0.466000000, 0.358953953, 0.001359224, 1
SVM, 12.0, 0.484000000, 0.667263031, 0.633046150, 1
kNN, 12.0, 0.392000000, 0.031149626, 0.141492128, 1
RF, 12.0, 0.506000000, 1.763359070, 0.138128757, 1
MLP, 12.0, 0.378000000, 9.444664001, 0.015238047, 1
S-RerF, 12.0, 0.400000000, 7.923332930, 0.258340120, 1
MT-MORF, 12.0, 0.334000000, 8.217551947, 0.291090012, 1
Log. Reg, 12.0, 0.508000000, 0.339285135, 0.001384020, 2
Lin. SVM, 12.0, 0.526000000, 0.299351931, 0.001313686, 2
SVM, 12.0, 0.496000000, 0.634922266, 0.622369051, 2
kNN, 12.0, 0.458000000, 0.027775049, 0.144013882, 2
RF, 12.0, 0.460000000, 1.718374014, 0.136972904, 2
MLP, 12.0, 0.416000000, 9.726106882, 0.018147945, 2
S-RerF, 12.0, 0.330000000, 7.819556952, 0.240970850, 2
MT-MORF, 12.0, 0.298000000, 8.146866798, 0.236808062, 2
Log. Reg, 12.0, 0.512000000, 0.324208260, 0.001382351, 3
Lin. SVM, 12.0, 0.512000000, 0.334618092, 0.002817154, 3
SVM, 12.0, 0.498000000, 0.641657114, 0.621140957, 3
kNN, 12.0, 0.454000000, 0.028280020, 0.146416903, 3
RF, 12.0, 0.504000000, 1.739418983, 0.137779951, 3
MLP, 12.0, 0.436000000, 10.376796246, 0.016590118, 3
S-RerF, 12.0, 0.236000000, 8.945938110, 0.220714092, 3
MT-MORF, 12.0, 0.292000000, 8.099079847, 0.219820023, 3
Log. Reg, 12.0, 0.518000000, 0.362835169, 0.001893997, 4
Lin. SVM, 12.0, 0.516000000, 0.423651934, 0.002141953, 4
SVM, 12.0, 0.476000000, 0.659385920, 0.626152039, 4
kNN, 12.0, 0.376000000, 0.029071808, 0.148177862, 4
RF, 12.0, 0.504000000, 1.731137991, 0.134831190, 4
MLP, 12.0, 0.416000000, 7.937537909, 0.035535097, 4
S-RerF, 12.0, 0.272000000, 9.250762939, 0.160402060, 4
MT-MORF, 12.0, 0.302000000, 8.177050829, 0.256029844, 4
Log. Reg, 12.0, 0.474000000, 0.323036194, 0.001713991, 5
Lin. SVM, 12.0, 0.470000000, 0.317923784, 0.001660109, 5
SVM, 12.0, 0.460000000, 0.652825832, 0.687354326, 5
kNN, 12.0, 0.328000000, 0.039056778, 0.138575792, 5
RF, 12.0, 0.494000000, 1.722301006, 0.135386705, 5
MLP, 12.0, 0.380000000, 8.450949192, 0.022010088, 5
S-RerF, 12.0, 0.284000000, 8.118798018, 0.239579201, 5
MT-MORF, 12.0, 0.328000000, 8.224247217, 0.216062307, 5
Log. Reg, 12.0, 0.496000000, 0.308071852, 0.001411915, 6
Lin. SVM, 12.0, 0.506000000, 0.308132887, 0.001701832, 6
SVM, 12.0, 0.506000000, 0.636245012, 0.617701292, 6
kNN, 12.0, 0.410000000, 0.029030085, 0.139746189, 6
RF, 12.0, 0.504000000, 1.721027136, 0.130904913, 6
MLP, 12.0, 0.412000000, 8.498697996, 0.014665127, 6
S-RerF, 12.0, 0.392000000, 7.934092999, 0.233942032, 6
MT-MORF, 12.0, 0.364000000, 9.756837130, 0.239648819, 6
Log. Reg, 12.0, 0.490000000, 0.354982138, 0.001710892, 7
Lin. SVM, 12.0, 0.494000000, 0.367657900, 0.001420021, 7
SVM, 12.0, 0.496000000, 0.700693130, 0.731870890, 7
kNN, 12.0, 0.454000000, 0.048307896, 0.158108711, 7
RF, 12.0, 0.496000000, 1.826910973, 0.134981871, 7
MLP, 12.0, 0.376000000, 8.576549053, 0.015755892, 7
S-RerF, 12.0, 0.380000000, 8.039099216, 0.217008114, 7
MT-MORF, 12.0, 0.320000000, 8.312767029, 0.270318985, 7
Log. Reg, 12.0, 0.498000000, 0.367380857, 0.002245188, 8
Lin. SVM, 12.0, 0.488000000, 0.407166958, 0.001551867, 8
SVM, 12.0, 0.536000000, 0.687910795, 0.753831863, 8
kNN, 12.0, 0.484000000, 0.038717031, 0.140146017, 8
RF, 12.0, 0.488000000, 1.933752775, 0.144030094, 8
MLP, 12.0, 0.410000000, 9.787518024, 0.014932156, 8
S-RerF, 12.0, 0.376000000, 8.245290041, 0.134789705, 8
