classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.491000000, 0.002737284, 0.000716925, 0
Log. Reg, 50, 0.498000000, 0.002513885, 0.000803947, 1
Log. Reg, 50, 0.494000000, 0.002656937, 0.000656128, 2
Log. Reg, 50, 0.520000000, 0.003567934, 0.000928164, 3
Log. Reg, 50, 0.521000000, 0.002444744, 0.000638247, 4
Log. Reg, 50, 0.507000000, 0.002390146, 0.000667095, 5
Log. Reg, 50, 0.511000000, 0.003006220, 0.001097202, 6
Log. Reg, 50, 0.504000000, 0.003140926, 0.000844002, 7
Log. Reg, 50, 0.488000000, 0.003701925, 0.000950098, 8
Log. Reg, 50, 0.496000000, 0.003956079, 0.000803947, 9
Lin. SVM, 50, 0.486000000, 0.057184935, 0.001467228, 0
Lin. SVM, 50, 0.489000000, 0.035921097, 0.000682354, 1
Lin. SVM, 50, 0.489000000, 0.038032293, 0.000704050, 2
Lin. SVM, 50, 0.507000000, 0.045802116, 0.001367807, 3
Lin. SVM, 50, 0.478000000, 0.040683031, 0.000810146, 4
Lin. SVM, 50, 0.510000000, 0.037106991, 0.000987053, 5
Lin. SVM, 50, 0.518000000, 0.043241978, 0.000757933, 6
Lin. SVM, 50, 0.504000000, 0.045387983, 0.000774145, 7
Lin. SVM, 50, 0.503000000, 0.040694952, 0.000784874, 8
Lin. SVM, 50, 0.486000000, 0.040079117, 0.001169920, 9
SVM, 50, 0.493000000, 0.002304077, 0.034230947, 0
SVM, 50, 0.493000000, 0.002401114, 0.034177065, 1
SVM, 50, 0.493000000, 0.002619267, 0.033954144, 2
SVM, 50, 0.493000000, 0.002537966, 0.038965940, 3
SVM, 50, 0.493000000, 0.003408670, 0.037566900, 4
SVM, 50, 0.493000000, 0.002450943, 0.035526276, 5
SVM, 50, 0.493000000, 0.002560854, 0.036717176, 6
SVM, 50, 0.493000000, 0.003094196, 0.034581900, 7
SVM, 50, 0.493000000, 0.002346992, 0.034653902, 8
SVM, 50, 0.493000000, 0.002670050, 0.035893917, 9
kNN, 50, 0.495000000, 0.000806093, 0.047238111, 0
kNN, 50, 0.487000000, 0.000467062, 0.044649124, 1
kNN, 50, 0.503000000, 0.000447989, 0.042871952, 2
kNN, 50, 0.503000000, 0.000567198, 0.036281109, 3
kNN, 50, 0.491000000, 0.000494957, 0.060283899, 4
kNN, 50, 0.506000000, 0.000489235, 0.044600725, 5
kNN, 50, 0.495000000, 0.000523806, 0.038090944, 6
kNN, 50, 0.476000000, 0.000474930, 0.048113823, 7
kNN, 50, 0.496000000, 0.000754833, 0.043861866, 8
kNN, 50, 0.502000000, 0.000548840, 0.044406176, 9
RF, 50, 0.493000000, 0.129270792, 0.018472195, 0
RF, 50, 0.501000000, 0.127896070, 0.024559259, 1
RF, 50, 0.500000000, 0.126726151, 0.016893148, 2
RF, 50, 0.499000000, 0.130889177, 0.017015934, 3
RF, 50, 0.495000000, 0.138179779, 0.018043041, 4
RF, 50, 0.487000000, 0.127003193, 0.017772913, 5
RF, 50, 0.497000000, 0.140974045, 0.029613972, 6
RF, 50, 0.493000000, 0.126602173, 0.018310070, 7
RF, 50, 0.490000000, 0.128436089, 0.017745256, 8
RF, 50, 0.499000000, 0.130254984, 0.019670963, 9
MLP, 50, 0.536000000, 0.370796919, 0.005084038, 0
MLP, 50, 0.510000000, 0.301231861, 0.002503872, 1
MLP, 50, 0.487000000, 0.321679115, 0.002550602, 2
MLP, 50, 0.520000000, 0.285876989, 0.002531052, 3
MLP, 50, 0.508000000, 0.303109884, 0.002475977, 4
MLP, 50, 0.507000000, 0.341306210, 0.002555132, 5
MLP, 50, 0.471000000, 0.309468985, 0.002473116, 6
MLP, 50, 0.496000000, 0.395912886, 0.003506899, 7
MLP, 50, 0.503000000, 0.323436022, 0.002521753, 8
MLP, 50, 0.487000000, 0.332048178, 0.002479792, 9
S-RerF, 50, 0.502000000, 0.026583195, 0.018453836, 0
S-RerF, 50, 0.498000000, 0.021069050, 0.005841017, 1
S-RerF, 50, 0.499000000, 0.051652193, 0.007993937, 2
S-RerF, 50, 0.490000000, 0.022024870, 0.009598017, 3
S-RerF, 50, 0.487000000, 0.023990870, 0.005561113, 4
S-RerF, 50, 0.480000000, 0.021702290, 0.006892920, 5
S-RerF, 50, 0.492000000, 0.022014856, 0.009050131, 6
S-RerF, 50, 0.502000000, 0.024100780, 0.011860132, 7
S-RerF, 50, 0.499000000, 0.036902905, 0.008723974, 8
S-RerF, 50, 0.492000000, 0.020581722, 0.009455919, 9
MT-MORF, 50, 0.486000000, 0.023330212, 0.041038036, 0
MT-MORF, 50, 0.506000000, 0.025188684, 0.012184858, 1
MT-MORF, 50, 0.496000000, 0.024481058, 0.010091066, 2
MT-MORF, 50, 0.487000000, 0.027405977, 0.011601925, 3
MT-MORF, 50, 0.502000000, 0.026471853, 0.006662846, 4
MT-MORF, 50, 0.511000000, 0.026405096, 0.010526180, 5
MT-MORF, 50, 0.494000000, 0.024003744, 0.007266998, 6
MT-MORF, 50, 0.499000000, 0.024986267, 0.006569147, 7
MT-MORF, 50, 0.499000000, 0.026688099, 0.006901026, 8
MT-MORF, 50, 0.486000000, 0.038326025, 0.018502235, 9
Log. Reg, 100, 0.499000000, 0.004793167, 0.000683069, 0
Log. Reg, 100, 0.527000000, 0.005959988, 0.000845194, 1
Log. Reg, 100, 0.512000000, 0.005459070, 0.000973940, 2
Log. Reg, 100, 0.494000000, 0.005119085, 0.000679255, 3
Log. Reg, 100, 0.462000000, 0.005338669, 0.000693083, 4
Log. Reg, 100, 0.509000000, 0.005414009, 0.000810146, 5
Log. Reg, 100, 0.499000000, 0.005488157, 0.000777960, 6
Log. Reg, 100, 0.521000000, 0.006150246, 0.000848293, 7
Log. Reg, 100, 0.488000000, 0.004859209, 0.000707865, 8
Log. Reg, 100, 0.529000000, 0.006234884, 0.000807047, 9
Lin. SVM, 100, 0.504000000, 0.108872175, 0.000787020, 0
Lin. SVM, 100, 0.500000000, 0.107692242, 0.000719070, 1
Lin. SVM, 100, 0.506000000, 0.110355139, 0.000772953, 2
Lin. SVM, 100, 0.508000000, 0.106195927, 0.001058817, 3
Lin. SVM, 100, 0.502000000, 0.111552000, 0.000737667, 4
Lin. SVM, 100, 0.493000000, 0.108364105, 0.000784159, 5
Lin. SVM, 100, 0.510000000, 0.112121820, 0.000777960, 6
Lin. SVM, 100, 0.506000000, 0.106975079, 0.000963926, 7
Lin. SVM, 100, 0.506000000, 0.109534025, 0.000887156, 8
Lin. SVM, 100, 0.496000000, 0.110478163, 0.000772953, 9
SVM, 100, 0.492000000, 0.008128166, 0.068165302, 0
SVM, 100, 0.499000000, 0.007984161, 0.068430901, 1
SVM, 100, 0.492000000, 0.008180857, 0.067751884, 2
SVM, 100, 0.495000000, 0.008140087, 0.068601131, 3
SVM, 100, 0.489000000, 0.007852077, 0.069745302, 4
SVM, 100, 0.495000000, 0.007815838, 0.069042921, 5
SVM, 100, 0.496000000, 0.007767916, 0.069253206, 6
SVM, 100, 0.495000000, 0.007828951, 0.068181038, 7
SVM, 100, 0.493000000, 0.007769823, 0.066886902, 8
SVM, 100, 0.493000000, 0.008071899, 0.067164898, 9
kNN, 100, 0.500000000, 0.001163960, 0.041829824, 0
kNN, 100, 0.493000000, 0.001128912, 0.041763067, 1
kNN, 100, 0.494000000, 0.001061916, 0.039924860, 2
kNN, 100, 0.485000000, 0.001153946, 0.056923866, 3
kNN, 100, 0.502000000, 0.001366615, 0.047141075, 4
kNN, 100, 0.472000000, 0.001086950, 0.043531179, 5
kNN, 100, 0.518000000, 0.001468897, 0.040778875, 6
kNN, 100, 0.506000000, 0.001221180, 0.041725874, 7
kNN, 100, 0.507000000, 0.001286268, 0.041275978, 8
kNN, 100, 0.501000000, 0.001259804, 0.042329311, 9
RF, 100, 0.504000000, 0.141472101, 0.021527052, 0
RF, 100, 0.492000000, 0.168721914, 0.024392843, 1
RF, 100, 0.494000000, 0.158063173, 0.024089813, 2
RF, 100, 0.484000000, 0.163677931, 0.018390894, 3
RF, 100, 0.494000000, 0.139358997, 0.018183947, 4
RF, 100, 0.506000000, 0.140572309, 0.020488024, 5
RF, 100, 0.494000000, 0.143985987, 0.018331766, 6
RF, 100, 0.495000000, 0.141371965, 0.018089056, 7
RF, 100, 0.516000000, 0.140728712, 0.049747944, 8
RF, 100, 0.482000000, 0.132187843, 0.023602962, 9
MLP, 100, 0.503000000, 0.552224159, 0.003176928, 0
MLP, 100, 0.518000000, 0.461680174, 0.002512932, 1
MLP, 100, 0.489000000, 0.566975117, 0.002699137, 2
