classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.502000000, 0.002595901, 0.000656128, 0
Log. Reg, 50, 0.507000000, 0.002743959, 0.000730038, 1
Log. Reg, 50, 0.482000000, 0.002408981, 0.000641108, 2
Log. Reg, 50, 0.506000000, 0.002861023, 0.000693798, 3
Log. Reg, 50, 0.500000000, 0.002546787, 0.000664711, 4
Log. Reg, 50, 0.486000000, 0.003099203, 0.000832081, 5
Log. Reg, 50, 0.505000000, 0.003189087, 0.000708103, 6
Log. Reg, 50, 0.486000000, 0.002470732, 0.000677824, 7
Log. Reg, 50, 0.493000000, 0.002665043, 0.000653982, 8
Log. Reg, 50, 0.503000000, 0.002634048, 0.000715017, 9
Lin. SVM, 50, 0.500000000, 0.014643908, 0.000730038, 0
Lin. SVM, 50, 0.489000000, 0.016392946, 0.000737906, 1
Lin. SVM, 50, 0.493000000, 0.015656948, 0.000755072, 2
Lin. SVM, 50, 0.508000000, 0.017259121, 0.000903845, 3
Lin. SVM, 50, 0.508000000, 0.016898870, 0.000938892, 4
Lin. SVM, 50, 0.497000000, 0.015918732, 0.000787973, 5
Lin. SVM, 50, 0.498000000, 0.016420126, 0.000872135, 6
Lin. SVM, 50, 0.471000000, 0.016396999, 0.000751972, 7
Lin. SVM, 50, 0.488000000, 0.015319824, 0.000662088, 8
Lin. SVM, 50, 0.467000000, 0.016986847, 0.000714064, 9
SVM, 50, 0.493000000, 0.003569126, 0.037718058, 0
SVM, 50, 0.493000000, 0.002811909, 0.036401033, 1
SVM, 50, 0.493000000, 0.002832890, 0.037047863, 2
SVM, 50, 0.493000000, 0.002665997, 0.035888195, 3
SVM, 50, 0.493000000, 0.002701283, 0.035976887, 4
SVM, 50, 0.493000000, 0.002798080, 0.036098003, 5
SVM, 50, 0.493000000, 0.002641916, 0.035870075, 6
SVM, 50, 0.493000000, 0.002853155, 0.036267042, 7
SVM, 50, 0.493000000, 0.003006935, 0.039180994, 8
SVM, 50, 0.493000000, 0.002518892, 0.035827875, 9
kNN, 50, 0.504000000, 0.000936985, 0.039670229, 0
kNN, 50, 0.454000000, 0.000888824, 0.034744978, 1
kNN, 50, 0.494000000, 0.000857830, 0.037621021, 2
kNN, 50, 0.464000000, 0.001011372, 0.035410166, 3
kNN, 50, 0.481000000, 0.000891924, 0.045371056, 4
kNN, 50, 0.499000000, 0.000823736, 0.044947863, 5
kNN, 50, 0.500000000, 0.000786066, 0.039872169, 6
kNN, 50, 0.484000000, 0.000895977, 0.038294792, 7
kNN, 50, 0.462000000, 0.000938892, 0.038609982, 8
kNN, 50, 0.504000000, 0.000973701, 0.038851261, 9
RF, 50, 0.491000000, 0.131943941, 0.019989967, 0
RF, 50, 0.496000000, 0.135454893, 0.019848824, 1
RF, 50, 0.501000000, 0.140137911, 0.021768093, 2
RF, 50, 0.488000000, 0.136534929, 0.020302773, 3
RF, 50, 0.484000000, 0.139663696, 0.018558979, 4
RF, 50, 0.501000000, 0.125660181, 0.017830849, 5
RF, 50, 0.490000000, 0.135965109, 0.019628048, 6
RF, 50, 0.496000000, 0.130872011, 0.019233942, 7
RF, 50, 0.492000000, 0.126868963, 0.018572092, 8
RF, 50, 0.497000000, 0.126336098, 0.018013954, 9
MLP, 50, 0.500000000, 0.370871067, 0.004898787, 0
MLP, 50, 0.489000000, 0.245532036, 0.003467083, 1
MLP, 50, 0.499000000, 0.234455109, 0.002628803, 2
MLP, 50, 0.505000000, 0.331256866, 0.002557993, 3
MLP, 50, 0.481000000, 0.295863152, 0.003288746, 4
MLP, 50, 0.527000000, 0.276253939, 0.002486944, 5
MLP, 50, 0.501000000, 0.279742956, 0.002956152, 6
MLP, 50, 0.488000000, 0.381110191, 0.002650261, 7
MLP, 50, 0.497000000, 0.262063265, 0.002600193, 8
MLP, 50, 0.502000000, 0.274134159, 0.002475739, 9
S-RerF, 50, 0.506000000, 0.027817965, 0.006138325, 0
S-RerF, 50, 0.494000000, 0.028076172, 0.010147095, 1
S-RerF, 50, 0.486000000, 0.021068096, 0.005242109, 2
S-RerF, 50, 0.515000000, 0.023334742, 0.007612944, 3
S-RerF, 50, 0.489000000, 0.022817135, 0.007628918, 4
S-RerF, 50, 0.497000000, 0.023692131, 0.005499840, 5
S-RerF, 50, 0.481000000, 0.023551941, 0.010129929, 6
S-RerF, 50, 0.508000000, 0.024492979, 0.006034851, 7
S-RerF, 50, 0.497000000, 0.023076773, 0.006161928, 8
S-RerF, 50, 0.483000000, 0.020659208, 0.006248951, 9
MT-MORF, 50, 0.502000000, 0.029329300, 0.007765055, 0
MT-MORF, 50, 0.500000000, 0.026849985, 0.015723944, 1
MT-MORF, 50, 0.512000000, 0.025552273, 0.017642021, 2
MT-MORF, 50, 0.495000000, 0.031445026, 0.048167944, 3
MT-MORF, 50, 0.459000000, 0.023824930, 0.005889893, 4
MT-MORF, 50, 0.497000000, 0.024779797, 0.007169008, 5
MT-MORF, 50, 0.467000000, 0.039815903, 0.011910915, 6
MT-MORF, 50, 0.504000000, 0.027130842, 0.013330936, 7
MT-MORF, 50, 0.493000000, 0.025526047, 0.014344931, 8
MT-MORF, 50, 0.495000000, 0.028952122, 0.007464886, 9
Log. Reg, 100, 0.486000000, 0.006548882, 0.001004934, 0
Log. Reg, 100, 0.527000000, 0.005251169, 0.000954866, 1
Log. Reg, 100, 0.512000000, 0.006106853, 0.000752926, 2
Log. Reg, 100, 0.469000000, 0.006225109, 0.001060247, 3
Log. Reg, 100, 0.485000000, 0.005984068, 0.000703096, 4
Log. Reg, 100, 0.496000000, 0.004700899, 0.000638962, 5
Log. Reg, 100, 0.502000000, 0.005614996, 0.000693083, 6
Log. Reg, 100, 0.488000000, 0.005495071, 0.000900984, 7
Log. Reg, 100, 0.492000000, 0.005286217, 0.000646830, 8
Log. Reg, 100, 0.510000000, 0.005624771, 0.000714064, 9
Lin. SVM, 100, 0.497000000, 0.043803930, 0.000715017, 0
Lin. SVM, 100, 0.506000000, 0.042941093, 0.000698328, 1
Lin. SVM, 100, 0.534000000, 0.038643122, 0.000705004, 2
Lin. SVM, 100, 0.483000000, 0.041977167, 0.000759840, 3
Lin. SVM, 100, 0.503000000, 0.043821096, 0.000744820, 4
Lin. SVM, 100, 0.467000000, 0.044183731, 0.000745058, 5
Lin. SVM, 100, 0.509000000, 0.046121120, 0.001029730, 6
Lin. SVM, 100, 0.501000000, 0.046409845, 0.000715971, 7
Lin. SVM, 100, 0.459000000, 0.045555830, 0.001019239, 8
Lin. SVM, 100, 0.505000000, 0.045352936, 0.000744820, 9
SVM, 100, 0.493000000, 0.007575750, 0.068451166, 0
SVM, 100, 0.493000000, 0.008004904, 0.067641020, 1
SVM, 100, 0.493000000, 0.007584810, 0.066824198, 2
SVM, 100, 0.493000000, 0.007641077, 0.071831942, 3
SVM, 100, 0.493000000, 0.011787891, 0.085725069, 4
SVM, 100, 0.493000000, 0.008611917, 0.070642233, 5
SVM, 100, 0.493000000, 0.008133888, 0.070101976, 6
SVM, 100, 0.493000000, 0.007911921, 0.067276001, 7
SVM, 100, 0.493000000, 0.008774996, 0.069628000, 8
SVM, 100, 0.493000000, 0.007694006, 0.065867901, 9
kNN, 100, 0.499000000, 0.001381159, 0.048440218, 0
kNN, 100, 0.500000000, 0.001469135, 0.049736023, 1
kNN, 100, 0.491000000, 0.001092911, 0.051430941, 2
kNN, 100, 0.512000000, 0.001084089, 0.046206951, 3
kNN, 100, 0.499000000, 0.001143217, 0.050566912, 4
kNN, 100, 0.513000000, 0.001050234, 0.052440882, 5
kNN, 100, 0.502000000, 0.001250982, 0.050098181, 6
kNN, 100, 0.489000000, 0.001081705, 0.040457964, 7
kNN, 100, 0.491000000, 0.001204967, 0.050858974, 8
kNN, 100, 0.492000000, 0.001168966, 0.043125153, 9
RF, 100, 0.493000000, 0.130338907, 0.020175695, 0
RF, 100, 0.507000000, 0.125853062, 0.017796993, 1
RF, 100, 0.499000000, 0.124446869, 0.017199755, 2
RF, 100, 0.501000000, 0.125938892, 0.017782211, 3
RF, 100, 0.505000000, 0.126953840, 0.017793894, 4
RF, 100, 0.508000000, 0.135857821, 0.022501707, 5
RF, 100, 0.506000000, 0.127992868, 0.017168045, 6
RF, 100, 0.480000000, 0.131213903, 0.019302845, 7
RF, 100, 0.502000000, 0.130480051, 0.018315077, 8
RF, 100, 0.495000000, 0.139394045, 0.018660069, 9
MLP, 100, 0.489000000, 0.472756863, 0.003950834, 0
