classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.502000000, 0.003959179, 0.001243830, 0
Log. Reg, 50, 0.503000000, 0.002425909, 0.000864983, 1
Log. Reg, 50, 0.495000000, 0.002570391, 0.000679016, 2
Log. Reg, 50, 0.486000000, 0.002328157, 0.000638962, 3
Log. Reg, 50, 0.500000000, 0.002202988, 0.000663042, 4
Log. Reg, 50, 0.478000000, 0.002198219, 0.000678062, 5
Log. Reg, 50, 0.508000000, 0.002214193, 0.000722170, 6
Log. Reg, 50, 0.498000000, 0.002652884, 0.000779867, 7
Log. Reg, 50, 0.505000000, 0.002282143, 0.000642061, 8
Log. Reg, 50, 0.483000000, 0.002115011, 0.000655890, 9
Lin. SVM, 50, 0.494000000, 0.015989065, 0.000797987, 0
Lin. SVM, 50, 0.501000000, 0.016729832, 0.000701904, 1
Lin. SVM, 50, 0.492000000, 0.016326189, 0.000831127, 2
Lin. SVM, 50, 0.510000000, 0.016499281, 0.000713110, 3
Lin. SVM, 50, 0.493000000, 0.015647888, 0.000653744, 4
Lin. SVM, 50, 0.479000000, 0.013900995, 0.000631094, 5
Lin. SVM, 50, 0.474000000, 0.014837980, 0.000669003, 6
Lin. SVM, 50, 0.504000000, 0.015675783, 0.000647783, 7
Lin. SVM, 50, 0.482000000, 0.015704870, 0.000721216, 8
Lin. SVM, 50, 0.500000000, 0.015242100, 0.000714064, 9
SVM, 50, 0.493000000, 0.003108263, 0.036468983, 0
SVM, 50, 0.493000000, 0.002761841, 0.038465738, 1
SVM, 50, 0.493000000, 0.002648830, 0.037405014, 2
SVM, 50, 0.493000000, 0.002478838, 0.034858942, 3
SVM, 50, 0.493000000, 0.002439976, 0.034765244, 4
SVM, 50, 0.493000000, 0.002689838, 0.034816027, 5
SVM, 50, 0.493000000, 0.002274990, 0.035010099, 6
SVM, 50, 0.493000000, 0.002387285, 0.036325932, 7
SVM, 50, 0.493000000, 0.002573729, 0.035223007, 8
SVM, 50, 0.493000000, 0.002249956, 0.033504009, 9
kNN, 50, 0.507000000, 0.001189947, 0.047988176, 0
kNN, 50, 0.501000000, 0.000503778, 0.050429344, 1
kNN, 50, 0.522000000, 0.001100779, 0.055481195, 2
kNN, 50, 0.481000000, 0.001255989, 0.079212189, 3
kNN, 50, 0.495000000, 0.001290083, 0.044224977, 4
kNN, 50, 0.516000000, 0.000531912, 0.038286686, 5
kNN, 50, 0.501000000, 0.000788927, 0.042329788, 6
kNN, 50, 0.497000000, 0.000598907, 0.041784048, 7
kNN, 50, 0.496000000, 0.000978231, 0.041912794, 8
kNN, 50, 0.497000000, 0.000493050, 0.046792984, 9
RF, 50, 0.493000000, 0.156535149, 0.030142307, 0
RF, 50, 0.491000000, 0.203922033, 0.032902718, 1
RF, 50, 0.495000000, 0.154799223, 0.021599054, 2
RF, 50, 0.491000000, 0.138602018, 0.017588139, 3
RF, 50, 0.492000000, 0.138123989, 0.018924952, 4
RF, 50, 0.491000000, 0.206521988, 0.023730040, 5
RF, 50, 0.498000000, 0.169087172, 0.019539833, 6
RF, 50, 0.481000000, 0.128309011, 0.033841848, 7
RF, 50, 0.497000000, 0.214605808, 0.039719105, 8
RF, 50, 0.490000000, 0.168926954, 0.030681849, 9
MLP, 50, 0.486000000, 0.310935974, 0.004209995, 0
